Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_,_3P,_3PA,_3P_,_2P,_2PA,_2P_,FT,FTA,FT_,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,string_field_29,ORtg,DRtg
417,Josh Smith\smithjo03,PF,29,TOT,83,35,2300,9.1,21.7,0.419,1.6,5.0,0.316,7.5,16.7,0.451,2.8,5.6,0.498,3.3,8.3,11.6,6.1,1.9,2.5,4.5,5.0,22.5,,94,102
389,Ramon Sessions\sessira01,PG,27,TOT,83,19,2214,7.8,18.1,0.429,0.8,2.9,0.282,6.9,15.2,0.457,7.7,9.5,0.807,0.9,3.9,4.8,8.0,1.2,0.2,3.5,2.1,24.0,,108,111
297,Ben McLemore\mclembe01,SG,20,SAC,82,55,2187,5.9,15.8,0.376,2.2,6.9,0.32,3.7,8.9,0.419,2.7,3.3,0.804,1.2,4.2,5.5,1.9,1.0,0.4,2.2,4.7,16.7,,97,112
271,Robin Lopez\lopezro01,C,27,NYK,82,82,2219,8.3,15.3,0.539,0.0,0.0,0.0,8.3,15.3,0.54,3.0,3.7,0.795,6.2,7.7,13.9,2.6,0.4,3.0,3.1,4.2,19.5,,113,107
277,Robin Lopez\lopezro01,C,25,POR,82,82,2603,6.9,12.5,0.551,0.0,0.0,0.0,6.9,12.5,0.552,3.8,4.7,0.818,6.3,7.3,13.6,1.4,0.5,2.7,1.6,3.8,17.6,,128,107
63,Aaron Brooks\brookaa01,PG,30,CHI,82,21,1885,9.4,22.4,0.421,3.3,8.6,0.387,6.1,13.8,0.442,4.0,4.8,0.833,0.9,3.7,4.6,7.2,1.5,0.4,4.3,5.2,26.2,,103,107
305,Mike Miller\millemi01,SF,33,MEM,82,4,1707,6.7,13.9,0.481,3.3,7.3,0.459,3.3,6.6,0.505,1.4,1.8,0.821,0.9,5.5,6.5,4.1,0.8,0.2,2.4,3.0,18.1,,115,109
379,Ricky Rubio\rubiori01,PG,23,MIN,82,82,2638,4.8,12.5,0.381,0.8,2.5,0.331,3.9,10.0,0.393,4.2,5.3,0.802,1.1,5.3,6.4,13.2,3.6,0.2,4.1,4.1,14.6,,106,104
481,Cody Zeller\zelleco01,C,21,CHA,82,3,1416,6.3,14.8,0.426,0.0,0.0,0.0,6.3,14.8,0.427,5.4,7.3,0.73,4.3,8.6,12.9,3.4,1.5,1.5,3.2,6.2,18.0,,101,102
431,P.J. Tucker\tuckepj01,SF,30,PHO,82,80,2540,4.6,11.2,0.411,1.3,4.0,0.33,3.3,7.2,0.455,2.0,2.7,0.746,3.2,6.7,9.8,3.4,2.0,0.4,2.1,3.9,12.5,,105,109
137,Monta Ellis\ellismo01,SG,28,DAL,82,82,3023,9.8,21.7,0.451,1.2,3.5,0.33,8.6,18.1,0.474,5.8,7.3,0.788,0.6,4.4,5.0,8.0,2.4,0.4,4.5,3.3,26.5,,104,109
36,Will Barton\bartowi01,SG,25,DEN,82,1,2353,9.1,20.9,0.432,2.4,6.9,0.345,6.7,14.0,0.476,4.6,5.7,0.806,1.3,8.9,10.1,4.3,1.5,0.8,3.0,3.1,25.1,,105,108
258,Zach LaVine\lavinza01,SG,20,MIN,82,33,2294,9.5,21.1,0.452,2.7,6.9,0.389,6.8,14.1,0.482,3.5,4.5,0.793,0.6,4.4,5.0,5.5,1.5,0.4,3.4,4.2,25.3,,104,112
254,DeAndre Jordan\jordade01,C,26,LAC,82,82,2820,6.8,9.6,0.71,0.0,0.1,0.25,6.8,9.5,0.713,3.4,8.5,0.397,7.1,14.9,22.0,1.1,1.5,3.3,2.0,4.4,17.0,,126,98
246,DeAndre Jordan\jordade01,C,25,LAC,82,82,2870,6.1,9.0,0.676,0.0,0.0,,6.1,9.0,0.676,2.8,6.5,0.428,5.8,13.6,19.4,1.3,1.4,3.5,2.1,4.6,14.9,,121,98
319,Shabazz Muhammad\muhamsh01,SF,23,MIN,82,0,1682,9.5,20.4,0.465,1.3,4.6,0.289,8.2,15.9,0.516,5.5,7.3,0.764,3.0,5.0,8.0,1.6,0.7,0.2,2.1,2.8,25.9,,110,114
311,Ben McLemore\mclembe01,SG,21,SAC,82,82,2670,6.8,15.7,0.437,2.6,7.4,0.358,4.2,8.3,0.507,2.5,3.0,0.813,0.6,4.0,4.5,2.6,1.5,0.4,2.6,4.1,18.8,,104,112
420,Jeff Teague\teaguje01,PG,28,IND,82,82,2657,7.6,17.1,0.442,1.7,4.7,0.357,5.9,12.4,0.475,6.8,7.8,0.867,0.6,5.6,6.2,12.0,1.9,0.6,4.1,3.1,23.6,,115,110
96,Norris Cole\coleno01,PG,25,MIA,82,6,2014,5.4,13.1,0.414,1.6,4.5,0.345,3.8,8.5,0.451,1.4,1.8,0.779,0.4,3.7,4.2,6.5,2.0,0.1,3.3,4.1,13.8,,96,108
177,Gerald Green\greenge01,SG,28,PHO,82,48,2330,9.6,21.6,0.445,4.4,11.0,0.4,5.2,10.7,0.492,4.2,4.9,0.848,1.0,4.9,5.9,2.6,1.5,0.9,3.1,4.7,27.9,,112,108
148,Dante Exum\exumda01,PG,19,UTA,82,41,1817,4.2,12.2,0.349,2.4,7.7,0.314,1.8,4.4,0.408,0.6,0.9,0.625,0.8,3.0,3.8,5.8,1.2,0.4,3.4,4.3,11.5,,90,109
361,Chris Paul\paulch01,PG,29,LAC,82,82,2857,10.1,20.8,0.485,2.5,6.2,0.398,7.6,14.6,0.523,5.1,5.7,0.9,0.9,5.7,6.7,14.9,2.8,0.3,3.4,3.6,27.7,,126,105
318,Jamal Murray\murraja01,SG,19,DEN,82,10,1764,8.2,20.2,0.404,3.2,9.5,0.334,5.0,10.7,0.466,2.9,3.3,0.883,1.1,4.8,5.9,4.7,1.4,0.7,3.1,3.4,22.5,,103,114
177,James Harden\hardeja01,SG,26,HOU,82,82,3125,11.2,25.4,0.439,3.7,10.3,0.359,7.5,15.1,0.494,11.3,13.2,0.86,1.0,6.9,7.9,9.6,2.2,0.8,5.9,3.6,37.4,,115,108
453,John Wall\walljo01,PG,23,WAS,82,82,2980,10.0,23.1,0.433,1.9,5.3,0.351,8.1,17.8,0.458,5.5,6.8,0.805,0.7,5.1,5.8,12.5,2.6,0.7,5.1,3.8,27.4,,106,104
216,Solomon Hill\hillso01,SF,23,IND,82,78,2381,5.4,13.7,0.396,1.5,4.5,0.327,4.0,9.2,0.43,3.4,4.2,0.824,1.5,5.3,6.8,4.0,1.4,0.4,2.5,3.8,15.8,,101,105
273,Damian Lillard\lillada01,PG,23,POR,82,82,2937,9.5,22.5,0.424,3.8,9.5,0.394,5.8,12.9,0.447,6.4,7.3,0.871,0.6,4.4,5.0,7.9,1.1,0.4,3.3,3.4,29.2,,116,110
147,Langston Galloway\gallola01,PG,24,NYK,82,7,2033,5.8,14.9,0.393,1.9,5.7,0.344,3.9,9.2,0.423,2.2,2.9,0.754,1.1,6.2,7.3,5.2,1.9,0.6,1.5,4.5,15.8,,105,108
454,Greivis Vasquez\vasqugr01,PG,28,TOR,82,29,1991,7.7,18.8,0.408,3.5,9.1,0.379,4.2,9.7,0.436,1.3,1.7,0.758,0.6,5.0,5.6,7.8,1.2,0.3,3.1,4.6,20.1,,105,110
178,Jeff Green\greenje02,SF,27,BOS,82,82,2805,8.8,21.5,0.412,2.5,7.3,0.341,6.4,14.2,0.448,5.2,6.5,0.795,1.0,6.0,7.0,2.5,1.0,0.9,3.0,3.3,25.3,,102,109
393,Ramon Sessions\sessira01,PG,29,WAS,82,5,1667,8.2,17.3,0.473,1.1,3.2,0.324,7.1,14.1,0.507,6.3,8.3,0.756,0.7,5.2,5.9,7.0,1.3,0.1,3.4,3.0,23.7,,109,109
416,Jason Smith\smithja02,C,28,NYK,82,31,1785,7.6,17.5,0.434,0.4,1.2,0.357,7.1,16.2,0.44,3.7,4.5,0.83,2.9,6.7,9.6,4.1,0.9,1.3,3.1,6.0,19.3,,99,111
159,Marcin Gortat\gortama01,C,32,WAS,82,82,2556,7.5,13.0,0.579,0.0,0.0,0.0,7.5,13.0,0.58,2.0,3.1,0.648,4.6,11.8,16.4,2.3,0.8,1.2,2.3,4.1,17.0,,117,108
180,Marcin Gortat\gortama01,C,30,WAS,82,82,2453,9.2,16.2,0.566,0.0,0.1,0.0,9.2,16.1,0.569,2.6,3.7,0.703,3.8,11.2,15.0,2.0,1.0,2.3,2.1,4.0,20.9,,114,100
