Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_,_3P,_3PA,_3P_,_2P,_2PA,_2P_,FT,FTA,FT_,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,string_field_29,ORtg,DRtg
8,Jarrett Allen\allenja01,C,19,BRK,72,31,1441,7.9,13.4,0.589,0.2,0.5,0.333,7.7,12.9,0.599,3.8,5.0,0.776,4.9,8.2,13.1,1.7,0.9,3.0,2.8,5.0,19.8,,119,108
15,Ike Anigbogu\anigbik01,C,19,IND,11,0,30,6.7,15.0,0.444,0.0,0.0,,6.7,15.0,0.444,8.3,10.0,0.833,8.3,6.7,15.0,0.0,1.7,5.0,3.3,1.7,21.7,,114,104
4,Bam Adebayo\adebaba01,C,20,MIA,69,19,1368,6.4,12.5,0.512,0.0,0.3,0.0,6.4,12.2,0.523,4.7,6.6,0.721,4.3,9.7,14.0,3.7,1.2,1.5,2.4,5.1,17.5,,116,105
62,Tony Bradley\bradlto01,C,20,UTA,9,0,29,5.2,19.0,0.273,0.0,1.7,0.0,5.2,17.3,0.3,3.5,3.5,1.0,6.9,12.1,19.0,1.7,0.0,0.0,0.0,1.7,13.8,,95,107
75,Thomas Bryant\bryanth01,C,20,LAL,15,0,72,5.3,14.0,0.381,0.7,6.6,0.1,4.7,7.3,0.636,3.3,6.0,0.556,2.0,9.3,11.3,4.0,0.7,1.3,1.3,4.0,14.6,,100,108
102,Zach Collins\colliza01,C,20,POR,66,1,1045,5.5,13.8,0.398,1.7,5.4,0.31,3.8,8.4,0.455,1.3,2.0,0.643,2.1,8.4,10.5,2.5,0.8,1.5,2.8,6.3,13.9,,93,107
312,Thon Maker\makerth01,C,20,MIL,74,12,1238,5.2,12.7,0.411,1.2,4.2,0.298,4.0,8.5,0.467,2.6,3.7,0.699,3.0,6.0,9.1,1.9,1.5,2.1,1.8,6.5,14.3,,103,110
389,Georgios Papagiannis\papagge01,C,20,TOT,17,0,122,7.5,17.4,0.429,0.0,0.0,,7.5,17.4,0.429,0.0,0.0,,5.4,9.9,15.3,3.7,1.7,2.5,3.3,5.0,14.9,,91,107
389,Georgios Papagiannis\papagge01,C,20,SAC,16,0,118,7.3,17.6,0.415,0.0,0.0,,7.3,17.6,0.415,0.0,0.0,,5.1,10.3,15.4,3.9,0.9,2.6,3.4,5.1,14.6,,88,109
389,Georgios Papagiannis\papagge01,C,20,POR,1,0,4,12.4,12.4,1.0,0.0,0.0,,12.4,12.4,1.0,0.0,0.0,,12.4,0.0,12.4,0.0,24.9,0.0,0.0,0.0,24.9,,208,60
394,Justin Patton\pattoju01,C,20,MIN,1,0,4,12.5,25.0,0.5,0.0,0.0,,12.5,25.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,25.0,,101,92
540,Ivica Zubac\zubaciv01,C,20,LAL,43,0,410,7.1,14.2,0.5,0.0,0.1,0.0,7.1,14.1,0.504,4.6,6.0,0.765,5.3,9.1,14.4,2.9,0.9,1.8,3.0,5.5,18.8,,111,107
123,Deyonta Davis\davisde01,C,21,MEM,62,6,943,8.6,14.2,0.608,0.0,0.0,,8.6,14.2,0.608,2.0,3.1,0.667,4.0,9.4,13.4,2.1,0.8,2.1,1.7,6.7,19.3,,122,110
301,Kevon Looney\looneke01,C,21,GSW,66,4,910,5.9,10.2,0.58,0.1,0.3,0.2,5.9,10.0,0.59,2.2,4.1,0.545,4.4,7.0,11.4,2.2,1.8,3.0,1.6,5.6,14.1,,121,106
384,Chinanu Onuaku\onuakch01,C,21,HOU,1,0,22,4.5,11.2,0.4,0.0,0.0,,4.5,11.2,0.4,0.0,0.0,,2.2,6.7,8.9,2.2,0.0,0.0,6.7,8.9,8.9,,62,111
438,Domantas Sabonis\sabondo01,C,21,IND,74,19,1810,9.4,18.3,0.514,0.4,1.0,0.351,9.0,17.2,0.524,4.6,6.2,0.75,4.6,11.2,15.8,4.2,1.1,0.9,3.8,6.1,23.8,,110,107
486,Myles Turner\turnemy01,C,21,IND,65,62,1836,8.3,17.4,0.479,1.5,4.3,0.357,6.8,13.1,0.519,4.4,5.6,0.777,2.5,8.8,11.4,2.4,1.0,3.2,2.6,5.1,22.5,,110,106
539,Ante Zizic\zizican01,C,21,CLE,32,2,214,11.2,15.3,0.731,0.0,0.0,,11.2,15.3,0.731,4.8,6.6,0.724,5.5,8.2,13.7,1.1,0.5,3.0,2.5,6.9,27.2,,137,111
256,Dakari Johnson\johnsda04,C,22,OKC,31,6,161,6.8,12.0,0.564,0.0,0.0,,6.8,12.0,0.564,3.4,6.2,0.55,4.9,5.5,10.5,2.5,1.8,2.5,0.9,8.3,17.0,,128,106
